branch,product,max_gap_days
0007-ANJANEYA NAGER,AA KAKARAKAI,54.0
0007-ANJANEYA NAGER,AASHIRVAD CHILLI PWD 200G,121.0
0007-ANJANEYA NAGER,AASHIRVAD CHILLI PWD 500G,41.0
0007-ANJANEYA NAGER,AASHIRVAD SELECT ATTA 1KG,31.0
0007-ANJANEYA NAGER,AASHIRVAD TURMERIC PWD 100G,69.0
0007-ANJANEYA NAGER,AJWA DATES KGS FLYBERRY LOOSE KGS,40.0
0007-ANJANEYA NAGER,AKSHAYA MULTI FLORAL RAW HOENY 250g,33.0
0007-ANJANEYA NAGER,AKSHAYAKALPA TABLE BUTTER SALTED 100g TUB ORGANIC,inf
0007-ANJANEYA NAGER,AKSHAYAKALPA UNSALTED TABLE BUTTER 100g TUB ORGANIC,65.0
0007-ANJANEYA NAGER,ALMOND DRAGES KG LOOSE FLYBERRY,48.0
0007-ANJANEYA NAGER,ALMOND MILK 1Lt UNSWEETENED EPIGAMIA,33.0
0007-ANJANEYA NAGER,ALMONDO 200g CHOCOLATE AMUL,40.0
0007-ANJANEYA NAGER,AMLA CANDY KG FLYBERRY,39.0
0007-ANJANEYA NAGER,AMLA PICKLE  250g AHA,89.0
0007-ANJANEYA NAGER,AMLA PICKLE  500g AHA,66.0
0007-ANJANEYA NAGER,AMLA PICKLE 250GMS VELLANKI FOODS,49.0
0007-ANJANEYA NAGER,AMUL BUTTER 500G SALTED,37.0
0007-ANJANEYA NAGER,AMUL CHEESE SPREAD PLAIN 200g,89.0
0007-ANJANEYA NAGER,AMUL DARK CHOCOLATE 125G,62.0
0007-ANJANEYA NAGER,AMUL FRUIT N NUT CHOCOLATE ILU 150g,116.0
0007-ANJANEYA NAGER,AMUL INDIA TWILIGHT TRYST 125g,inf
0007-ANJANEYA NAGER,AMUL PROCESSED CHEESE BLOCK200g,59.0
0007-ANJANEYA NAGER,ANJEER BOX PACK ANAND,82.0
0007-ANJANEYA NAGER,ANJUR JUICE,inf
0007-ANJANEYA NAGER,APPLE BARE,69.0
0007-ANJANEYA NAGER,APPLE JUICE,48.0
0007-ANJANEYA NAGER,APPLE MILKSHAKES,68.0
0007-ANJANEYA NAGER,ARTISANAL CURD 400g EPIGAMIA,109.0
0007-ANJANEYA NAGER,ASH GOURD JUICE,inf
