product,cost_proxy,avg_unit_price,revenue,qty,margin_estimate,gap_to_20,margin_at_risk
ANAR,255.776,300.0179781420765,1298240.47,4289.82,0.1474644233524075,0.05253557664759251,68203.81171869152
APPLE ROYAL GALA,362.0,387.7026923076923,1037085.41,2695.28,0.06629485122918333,0.13370514877081668,138663.65903209342
POTATO,44.9,49.11601092896175,487956.76,9951.98,0.08583781233902565,0.11416218766097436,55706.21120556103
ONION,28.9,33.289781420765024,443523.94,13298.94,0.13186573276887992,0.0681342672311201,30219.178651359274
TONED MILK 500ml HERITAGE,31.0,31.302039800995026,401154.05,14652.0,0.009649205065077715,0.1903507949349223,76359.99230886357
RIDGE GOURD,46.0,57.335464480874315,368571.19,6459.72,0.1977042408831543,0.002295759116845708,846.1506696491717
BABY ORANGE,232.2,271.00879781420764,357851.54,1302.95,0.14320124707100224,0.056798752928997776,20325.521205721365
USA FUJI APPLE,386.07,419.00348066298346,305790.4,732.75,0.07859953958108723,0.12140046041891278,37123.09535168351
PINK LADY APPLE,332.63,367.50757763975156,236727.24,648.13,0.09490301632348985,0.10509698367651016,24879.3188780653
BLUE BERRY,246.0,304.16511494252876,229863.0,768.0,0.19122875071823708,0.008771249281762927,2016.1856736538718
Banana Yalakki,124.0,137.39494505494505,224911.6,1637.34,0.09749226981813874,0.10250773018186127,23055.17760757071
FULL CREAM MILK 500ml HERITAGE,41.0,41.33170731707317,211274.0,5117.0,0.008025492741649876,0.19197450725835014,40559.22204650067
RUBUSTA BANANA,42.1,46.84483516483517,204084.65,4378.63,0.10128833089366818,0.09871166910633183,20145.536440481545
PURE O FRESH EGGS 30 pack,250.0,249.64022346368714,196234.74,787.0,-0.0014411801564711002,0.2014411801564711,39529.757613298265
CUSTARD APPLE ANAND,243.0,272.8720930232558,195140.17,725.49,0.10947287680572715,0.09052712319427286,17665.47820974135
HIMAYATH MANGO KG LOOSE,269.0,317.78234567901234,193772.48,617.9,0.1535086713982744,0.04649132860172561,9008.740041651305
GARLIC,146.0,162.08524590163933,181961.57,1121.55,0.09923942066510227,0.10076057933489774,18334.55320988755
A2 BUFFALO MILK 500ml SIDS FARM,60.0,59.912950819672126,174094.0,2913.0,-0.00145292760808724,0.20145292760808725,35071.74597900234
DASHERI MANGO KG LOOSE,207.0,214.0463,173487.08,812.64,0.032919513208123696,0.16708048679187631,28986.305778501188
BUTTON MUSHROOM,49.0,48.91469945355191,168699.54,3457.0,-0.0017438632435855528,0.20174386324358556,34034.096927015795
WASHINGTON APPLE,326.0,342.6552258064516,164479.34,483.27,0.0486063674273548,0.1513936325726452,24901.124765751185
PANEER 200G HERITAGE,117.0,116.47807909604519,163385.4,1407.0,-0.004480850886323884,0.2044808508863239,33409.185614402384
COCONUT,39.9,43.886448087431695,162488.22,3696.0,0.09083551440503446,0.10916448559496555,17737.942951541594
CURD 500g POUCH HERITAGE,50.0,49.856263736263735,155741.25,3133.0,-0.002883013145482005,0.20288301314548202,31597.2540710438
FRESH LOOSE PANEER,520.0,519.9998224852071,155474.76,304.8,-3.413747182712257e-07,0.20000034137471828,31095.005075152396
KESARI MANGO KG LOOSE,209.0,235.12702702702705,146626.91,628.36,0.11111877421060512,0.08888122578939489,13032.379494511284
MOUSAMBI,72.0,82.82203296703297,137279.59,1680.51,0.13066611117044957,0.06933388882955044,9518.127831626263
RAW BANANA(GREEN PLANTIN),59.888,60.39715846994536,128694.31999999999,2133.14,0.00843017259162493,0.19156982740837508,24653.948670838192
CHINNA RASALU KG LOOSE,117.0,141.61555555555555,123437.86,889.21,0.17381957412085924,0.026180425879140767,3231.655744409755
PANEER 500G HERITAGE,275.0,273.87605504587157,123009.96,448.0,-0.004103845273878193,0.2041038452738782,25106.80584298595
Green Kiwi Small,32.0,39.28814207650273,117932.0,3043.0,0.18550487987726938,0.014495120122730631,1709.4385063138689
BANANA CHOCOCHIP LOAF 350g KALSAN FOODS,150.0,150.0,115200.0,768.0,0.0,0.2,23040.0
GOLDEN KIWI SMALL,53.498,66.44841726618705,109152.55,1687.0,0.194894292430002,0.005105707569998008,557.3010008195861
CHEKKARAKELI BANANA,119.0,123.7339010989011,105288.19,858.44,0.03825872341256964,0.16174127658743037,17029.44626017992
SWEET CORN,11.9,14.774699453551912,102729.3,7012.0,0.19456906467635926,0.005430935323640751,557.9161841428878
PURE O FRESH EGGS 6 PACK,54.0,53.97362637362638,100072.8,1855.0,-0.000488639139994973,0.20048863913999498,20063.459486928892
CURD TUB 1KG HERITAGE,109.0,108.83446927374301,98142.23,904.0,-0.0015209402624147828,0.2015209402624148,19777.714469050174
COLOUR CUCUMBER,31.631999999999998,36.42377049180328,95482.76,2629.25,0.13155613565272195,0.06844386434727806,6535.209072943708
FLY BERRY DERI DATES 255g,199.0,199.0,84575.0,427.0,0.0,0.2,16915.0
COW MILK 500ML POUCH SIDS FARM,42.0,41.86049180327869,83589.86,2010.0,-0.003332693685896393,0.2033326936858964,16996.551398626965
KARPURAVALLI BANANA,74.0,78.40491712707183,80638.42,1028.6,0.05618164381109825,0.14381835618890176,11597.28501007026
EGGS 6PC JUST LAID VN POULTRY,80.0,80.0,79920.0,999.0,0.0,0.2,15984.0
CHERUKU RASALU KG LOOSE,146.0,172.637,76365.67,461.89,0.15429484988733588,0.04570515011266413,3490.3044108041713
MENTI BIG,99.0,113.62267759562842,70809.16,614.62,0.12869506250916773,0.07130493749083228,5049.042727578341
KALA JAMUN BOX PACK ANAND,99.0,119.6686046511628,67282.0,604.0,0.1727153476169655,0.027284652383034513,1835.7659816353282
FREEDOM RF SUNFLOWER OIL 1LT POUCH,158.0,158.95364238410596,64739.0,408.0,0.005999500041663164,0.19400049995833685,12559.398366802769
CLUSTER BEANS,50.12,59.190164835164836,63949.94,1078.97,0.1532377019125356,0.046762298087464405,2990.4461569554637
IDLY . DOSA BATTER 1KG ID FRESH,95.0,95.0,61655.0,650.0,0.0,0.2,12331.0
ASH GOURD,37.0,39.6838418079096,59776.4,1520.11,0.06763059435880203,0.13236940564119798,7912.566539370507
CURRY LEAVES,89.0,94.00524590163934,59596.840000000004,635.03,0.05324432539516455,0.14675567460483546,8746.174458516443
COCONUT MANGO,172.0,189.4829508196721,59162.729999999996,310.07,0.09226661683303827,0.10773338316696174,6373.801060293502
GREEN PEAS,158.7,181.09258620689656,58912.81,329.22,0.12365269432572601,0.076347305674274,4497.834313200426
GREEN APPLE,353.0,378.80737226277375,57267.08,151.97,0.06812795672010186,0.13187204327989815,7551.92685227339
TELANGANA CHEKKALU 250g  VELLANKI FOODS,130.0,131.4875,55106.0,419.0,0.011312862439395444,0.18868713756060457,10397.793402414676
FLYBERRY DREAMY DERI DATES 400G,699.0,698.9998333333333,54521.99,78.0,-2.384359176765827e-07,0.2000002384359177,10904.411000000719
MIXED SPROUTS ANAND,30.0,30.0,53400.0,1780.0,0.0,0.2,10680.0
NATURAL CURD 450g SIDS FARM,50.0,50.090494505494505,53340.0,1067.0,0.0018066203256303925,0.19819337967436962,10571.634871830875
CARRY BAG MEDIUM 5Kg HOLDING CAPACITY,6.0,6.0,53298.0,8949.0,0.0,0.2,10659.6
GAVVALU SWEET 250G VELLANKI FOODS,140.0,141.0897435897436,51995.0,369.0,0.007723761926397121,0.1922762380736029,9997.402998636982
CHEGODI 250g VELLANKI FOODS,145.0,145.55339743589744,51264.0,352.0,0.003802023488604256,0.19619797651139576,10057.893067880192
Thotakura,56.0,63.87945355191257,50208.8,782.36,0.12334879392024256,0.07665120607975745,3848.565075817326
LYCHEE LOCAL ANAND,429.0,462.3793333333333,49892.05,107.83,0.07219036606307372,0.1278096339369263,6376.684646862824
SID FARMS MALAI PANEER 200g,120.0,121.44273885350317,47993.0,397.0,0.011879992720219779,0.18812000727978023,9028.443509378492
FIGS AFGHANI NORMAL KG FLYBERRY,1900.0,1896.7880681818183,47772.840000000004,25.32,-0.0016933530277110087,0.20169335302771102,9635.464283256355
WALNUT PREMIUM KGS FLYBERRY,2400.0,2399.9998765432097,47750.4,20.08,-5.1440331994001554e-08,0.200000051440332,9550.08245629643
DATE BITES 160g FLYBERRY,299.0,298.6785483870968,46823.4,157.0,-0.0010762460666797757,0.2010762460666798,9415.073500078575
chukkakura,79.0,88.11357142857143,46275.08,527.98,0.10342982676578127,0.09657017323421874,4468.792492027331
PALLI PEANUT CHIKKI 250g VELLANKI FOODS,150.0,150.8843537414966,45715.0,303.0,0.005861136158701541,0.19413886384129847,8875.05816050496
BUFFALO GHEE 250g  VELLANKI FOODS,225.0,225.0,44775.0,199.0,0.0,0.2,8955.0
MURUKULU 250g VELLANKI FOODS,150.0,150.89175675675676,44517.89,299.0,0.0059099103617323845,0.19409008963826763,8640.481260606537
PRM HMT RAW RICE 26KG BAG GAJANAN,1799.0,1808.5454545454545,43428.0,24.0,0.005277973258268842,0.19472202674173117,8456.3881773399
PREMIUM MILK BREAD 400g SPENCERS AKSHAYA  FOODS,55.0,55.0,43120.0,784.0,0.0,0.2,8624.0
VAMPOOSA 250g VELLANKI FOODS,140.0,141.89788732394365,42759.0,301.0,0.013375021712697555,0.18662497828730246,7979.897446586766
JANTHIKALU 250g VELLANKI FOODS,150.0,150.6515436241611,42697.41,286.0,0.0043248386872591915,0.19567516131274082,8354.822589386235
GONGURA(PUNTIKURA),59.0,67.78065934065934,42112.0,630.23,0.12954520398700398,0.07045479601299603,2966.992369699289
DR GOOD EGGS CAROTENOID 12 PACK,150.0,155.8237762237762,42003.6,272.0,0.03737411815391234,0.16262588184608767,6830.872490710328
DOSA BATTER MIX 900g DSL,80.0,80.0,41680.0,522.0,0.0,0.2,8336.0
BROWN ANJEER BOX TURKEY,129.0,129.0,41151.0,319.0,0.0,0.2,8230.2
