product,unit_price_var,revenue,revenue_per_unit,misalignment_score
ASPARAGUS KG SAMBERRY,194064.5,249.2,180.5797101449275,1074.6750000000002
FRUIT BASKET 450 SADGURU,51200.0,320.0,160.0,320.0
WHITE SEEDLESS GRAPES,15213.541468181822,66994.76,140.17399673599195,108.5332645314771
PANASA POTTU,4519.919517102617,6240.0,63.9344262295082,70.69617706237426
ENG ITEM BROCOLI SAMBERRY,18175.48371131327,166019.06,359.5042442615851,50.557076867466115
THREE MANGO RAI PWD 500G,3536.333333333333,309.0,77.25,45.77777777777777
BLACK SEEDED GRAPES,10082.586392989417,36073.39,227.73604797979797,44.27312444573475
TABLE BUTTER 500G HERITAGE,11213.839285714284,2095.0,261.875,42.82134333446982
THOTAPURI MANGO,2504.121956736972,34772.34,69.26622975637935,36.152133089160166
APPLE BARE,4160.25,413.30999999999995,115.12813370473535,36.13582419975322
CONTINENTAL XTRA 50g JAR PLUS 25g JAR FREE SOUTH BLEND,3197.336964285714,1193.7,119.37,26.785096458789596
COFFEE XTRA 100g JAR INSTANT SOUTH BLEND CONTINENTAL,6305.527777777778,2174.0,241.55555555555554,26.10384084636615
CAPSICUM YELLOW SAMBERRY,8724.04334918712,66726.47,337.44548396884795,25.853193370910546
CAPSICUM RED SAMBERRY,8399.552121473862,58228.08,333.20789699570815,25.20814241561043
ALPHONSO LOCAL KG LOOSE,5158.4356734798475,98534.95,212.80008206634415,24.240759793840752
AVOCADO IMP SAMBERRY,9345.872299244926,132425.83,396.41330898640956,23.576081043145134
BANGINAPALLI MANGO LOOSE KGS,3363.984396450443,670243.84,147.44406093603914,22.815326538718512
AA KAKARAKAI,4492.678450128862,69293.99,207.36769810869046,21.66527617900283
YELLOW BANTHI POOLU KGS LOOSE,3675.0,1449.43,175.9016990291262,20.892350786171118
IMPORTED PLUMS,6839.137759711477,76389.38,329.61976267529667,20.748567088947897
