branch,product,avg_daily_units,max_daily_units,std_daily_units,days_sold,volatility_ratio,cv_units
0007-ANJANEYA NAGER,A2 BUFFALO MILK 500ml SIDS FARM,15.918032786885245,36.0,5.415571003654408,183,1.2615859938208034,0.3402160980668578
0007-ANJANEYA NAGER,AA KAKARAKAI,3.4449484536082475,7.7,1.534567069588453,97,1.2351568111084512,0.4454542906095282
0007-ANJANEYA NAGER,AASHIRVAAD ATTA 1KG,2.0120481927710845,6.0,1.3112456924397562,83,1.9820359281437123,0.6516969609131722
0007-ANJANEYA NAGER,AASHIRVAAD CRYSTAL SALT 1KG,1.2641509433962264,3.0,0.5244390188289262,53,1.3731343283582091,0.4148547462378073
0007-ANJANEYA NAGER,AASHIRVAAD SALT 1KG,1.3773584905660377,4.0,0.7397092748646285,53,1.9041095890410962,0.5370491995592508
0007-ANJANEYA NAGER,AASHIRVAD ATTA 2KG,1.625,4.0,0.9237212077056678,24,1.4615384615384615,0.5684438201265648
0007-ANJANEYA NAGER,AASHIRVAD CHILLI PWD 200G,1.5,4.0,1.0801234497346435,10,1.6666666666666667,0.7200822998230957
0007-ANJANEYA NAGER,AASHIRVAD CORIANDER PWD 100G,1.170731707317073,3.0,0.4417261042993862,41,1.5625000000000002,0.37730771408905905
0007-ANJANEYA NAGER,AASHIRVAD CORIANDER PWD 200G,1.25,2.0,0.5,4,0.6,0.4
0007-ANJANEYA NAGER,AASHIRVAD MULITGRAIN ATTA 1KG,1.5098039215686274,4.0,0.7034926870865921,51,1.6493506493506493,0.46594970183657397
0007-ANJANEYA NAGER,AASHIRVAD SELECT ATTA 1KG,1.3584905660377358,4.0,0.6820314571653825,53,1.9444444444444449,0.5020509337467399
0007-ANJANEYA NAGER,AASHIRVAD TURMERIC PWD 100G,1.5217391304347827,4.0,0.897955517089759,23,1.6285714285714283,0.5900850540875558
0007-ANJANEYA NAGER,ABC CANE JUICE,2.0833333333333335,8.0,1.3585337813568417,96,2.8399999999999994,0.6520962150512839
0007-ANJANEYA NAGER,AFGHANI RAISINS KGS FLYBERRY,0.18480769230769228,0.49,0.10173958268425427,52,1.6514047866805415,0.5505159520896173
0007-ANJANEYA NAGER,AGMARK GHEE 500 ML HERITAGE,1.162162162162162,2.0,0.37368387661182223,37,0.7209302325581397,0.32154194034040523
0007-ANJANEYA NAGER,AJWA DATES KGS FLYBERRY LOOSE KGS,0.15,0.24,0.07810249675906653,3,0.6,0.5206833117271102
0007-ANJANEYA NAGER,AJWAIN 100g,1.297872340425532,4.0,0.6565686035555144,47,2.081967213114754,0.5058807273296586
0007-ANJANEYA NAGER,AK COUNTRY EGGS 6PC PACK AKSHAYA KALPA,1.105263157894737,2.0,0.3153017676423058,19,0.8095238095238093,0.28527302786684805
0007-ANJANEYA NAGER,AK ORGANIC HIGH PROTEIN PANEER 200g,1.6585365853658536,8.0,1.2963363008409694,41,3.823529411764706,0.7816145343305845
0007-ANJANEYA NAGER,AKSHAYA KALPA ORGANIC COW GHEE 195ml,1.0769230769230769,2.0,0.2773500981126146,13,0.8571428571428572,0.2575393768188564
0007-ANJANEYA NAGER,AKSHAYA MULTI FLORAL RAW HOENY 250g,1.069767441860465,2.0,0.25776963111323353,43,0.8695652173913045,0.24095856821454442
0007-ANJANEYA NAGER,ALMOND DRAGES KG LOOSE FLYBERRY,0.16833333333333333,0.24,0.06886526150697639,12,0.4257425742574257,0.4091005634077805
0007-ANJANEYA NAGER,ALMOND REGULAR  250 GM,1.25,2.0,0.5,4,0.6,0.4
0007-ANJANEYA NAGER,ALMONDO BAR 35g CHOCOLATE AMUL,3.4545454545454546,9.0,2.364967989862356,22,1.6052631578947367,0.6845959970654188
0007-ANJANEYA NAGER,ALPHONSO LOCAL KG LOOSE,5.088351648351648,12.64,2.617175858624994,91,1.4841050449205253,0.5143464995138097
0007-ANJANEYA NAGER,ALPHONSO MANGO PC RATNAGIRI,6.5625,30.0,7.957962469543738,16,3.5714285714285716,1.2126419001209505
0007-ANJANEYA NAGER,AMERI DATES KG FLYBERRY,0.17333333333333334,0.23,0.055075705472861024,3,0.3269230769230769,0.3177444546511213
0007-ANJANEYA NAGER,AMLA,3.6674175824175825,9.55,1.4323038781093773,182,1.6040121653407644,0.39054834796456267
0007-ANJANEYA NAGER,AMLA CANDY KG FLYBERRY,0.111875,0.22,0.0462195845935465,16,0.9664804469273742,0.4131359516741586
0007-ANJANEYA NAGER,AMLA PICKLE  250g AHA,1.1111111111111112,2.0,0.3333333333333333,9,0.7999999999999999,0.3
0007-ANJANEYA NAGER,AMLA PICKLE 250GMS VELLANKI FOODS,1.2727272727272727,2.0,0.46709936649691375,11,0.5714285714285715,0.367006645104718
0007-ANJANEYA NAGER,AMRUTHA - A2 ORGANIC CURD. 500g AKSHAYAKALPA,1.7431192660550459,5.0,0.9756637790335227,109,1.8684210526315792,0.5597229048139684
0007-ANJANEYA NAGER,AMUL DARK CHOCOLATE 125G,1.5,3.0,0.674199862463242,12,1.0,0.4494665749754947
